Lifter Name;Age;Weight Class;Lift Type;Amount Lifted (kg)
Jessica Wilson;46;59 kg;Bench Press;269
John Doe;60;83 kg;Bench Press;179
Emily Davis;41;105 kg;Bench Press;235
Jessica Wilson;25;120 kg;Bench Press;178
Chris Brown;20;66 kg;Bench Press;239
Matthew Anderson;64;74 kg;Bench Press;398
Matthew Anderson;47;120 kg;Bench Press;396
Jane Smith;50;74 kg;Bench Press;111
Matthew Anderson;40;120 kg;Bench Press;120
Matthew Anderson;52;66 kg;Bench Press;275
Emily Davis;19;74 kg;Bench Press;254
Jessica Wilson;63;105 kg;Bench Press;105
Michael Johnson;35;93 kg;Bench Press;217
Emily Davis;52;74 kg;Bench Press;310
Emily Davis;49;52 kg;Bench Press;376
Jane Smith;19;83 kg;Bench Press;164
Chris Brown;46;66 kg;Bench Press;346
Emily Davis;22;93 kg;Bench Press;314
Michael Johnson;21;83 kg;Bench Press;363
Jessica Wilson;46;120 kg;Bench Press;314
Sarah Thomas;57;93 kg;Bench Press;227
Sarah Thomas;23;93 kg;Bench Press;208
Matthew Anderson;49;74 kg;Bench Press;389
Jessica Wilson;43;52 kg;Bench Press;190
John Doe;64;93 kg;Bench Press;265
Jessica Wilson;34;120 kg;Bench Press;324
Sarah Thomas;26;93 kg;Bench Press;232
John Doe;46;Open;Bench Press;124
Jessica Wilson;32;74 kg;Bench Press;106
John Doe;24;105 kg;Bench Press;232
Chris Brown;21;59 kg;Bench Press;277
John Doe;56;52 kg;Bench Press;167
John Doe;29;59 kg;Bench Press;180
Jessica Wilson;24;59 kg;Bench Press;346
Laura Taylor;18;66 kg;Bench Press;128
Emily Davis;34;59 kg;Bench Press;328
Emily Davis;43;Open;Bench Press;288
Chris Brown;29;52 kg;Bench Press;344
Daniel Lee;52;66 kg;Bench Press;346
Michael Johnson;61;66 kg;Bench Press;338
John Doe;56;120 kg;Bench Press;240
Emily Davis;44;105 kg;Bench Press;146
Matthew Anderson;45;52 kg;Bench Press;303
Michael Johnson;22;105 kg;Bench Press;185
Matthew Anderson;27;52 kg;Bench Press;157
Matthew Anderson;22;120 kg;Bench Press;241
Michael Johnson;41;93 kg;Bench Press;125
Chris Brown;31;59 kg;Bench Press;106
Emily Davis;23;52 kg;Bench Press;211
Sarah Thomas;18;Open;Bench Press;261
Matthew Anderson;27;83 kg;Bench Press;381
Jessica Wilson;39;120 kg;Bench Press;124
Sarah Thomas;34;74 kg;Bench Press;262
Emily Davis;30;93 kg;Bench Press;344
Sarah Thomas;20;120 kg;Bench Press;244
Laura Taylor;53;120 kg;Bench Press;199
Matthew Anderson;60;93 kg;Bench Press;230
Daniel Lee;64;52 kg;Bench Press;308
Emily Davis;31;66 kg;Bench Press;171
Emily Davis;60;59 kg;Bench Press;300
Daniel Lee;28;120 kg;Bench Press;103
John Doe;57;120 kg;Bench Press;291
Jessica Wilson;19;120 kg;Bench Press;138
Michael Johnson;18;Open;Bench Press;263
Laura Taylor;48;120 kg;Bench Press;244
Jessica Wilson;61;93 kg;Bench Press;343
Jessica Wilson;39;93 kg;Bench Press;166
Laura Taylor;46;83 kg;Bench Press;276
Sarah Thomas;57;105 kg;Bench Press;392
Sarah Thomas;27;59 kg;Bench Press;312
Laura Taylor;42;93 kg;Bench Press;388
Jessica Wilson;19;52 kg;Bench Press;179
Michael Johnson;18;105 kg;Bench Press;390
Michael Johnson;33;Open;Bench Press;174
Matthew Anderson;51;93 kg;Bench Press;179
Jane Smith;50;83 kg;Bench Press;372
Jessica Wilson;55;Open;Bench Press;131
Matthew Anderson;23;93 kg;Bench Press;271
Jane Smith;59;66 kg;Bench Press;134
Jane Smith;26;66 kg;Bench Press;377
Matthew Anderson;39;93 kg;Bench Press;325
John Doe;45;Open;Bench Press;213
Michael Johnson;49;120 kg;Bench Press;202
Michael Johnson;43;52 kg;Bench Press;223
Laura Taylor;59;74 kg;Bench Press;352
Laura Taylor;25;74 kg;Bench Press;270
Sarah Thomas;55;Open;Bench Press;244
Jessica Wilson;61;Open;Bench Press;284
Sarah Thomas;34;74 kg;Bench Press;325
Daniel Lee;55;83 kg;Bench Press;260
John Doe;21;59 kg;Bench Press;177
Matthew Anderson;53;93 kg;Bench Press;106
Emily Davis;21;105 kg;Bench Press;304
Matthew Anderson;64;52 kg;Bench Press;318
Laura Taylor;41;74 kg;Bench Press;126
Matthew Anderson;52;74 kg;Bench Press;306
Chris Brown;31;74 kg;Bench Press;132
John Doe;39;Open;Bench Press;133
Chris Brown;35;83 kg;Bench Press;384
Sarah Thomas;41;Open;Bench Press;241
John Doe;53;52 kg;Bench Press;224
Chris Brown;24;52 kg;Bench Press;387
Chris Brown;52;74 kg;Bench Press;291
Daniel Lee;58;52 kg;Bench Press;187
Matthew Anderson;47;52 kg;Bench Press;102
John Doe;43;93 kg;Bench Press;348
Matthew Anderson;22;66 kg;Bench Press;268
Chris Brown;56;93 kg;Bench Press;201
Emily Davis;46;83 kg;Bench Press;330
Michael Johnson;25;66 kg;Bench Press;123
Laura Taylor;61;83 kg;Bench Press;348
Michael Johnson;59;74 kg;Bench Press;214
Laura Taylor;33;83 kg;Bench Press;214
Jane Smith;46;66 kg;Bench Press;127
Jane Smith;18;74 kg;Bench Press;182
Daniel Lee;29;59 kg;Bench Press;100
Matthew Anderson;20;93 kg;Bench Press;295
Sarah Thomas;27;59 kg;Bench Press;272
Matthew Anderson;29;83 kg;Bench Press;340
Emily Davis;62;93 kg;Bench Press;331
Jane Smith;54;93 kg;Bench Press;200
Chris Brown;23;74 kg;Bench Press;189
John Doe;54;120 kg;Bench Press;344
Laura Taylor;57;105 kg;Bench Press;395
Matthew Anderson;47;93 kg;Bench Press;114
Jane Smith;29;105 kg;Bench Press;356
Laura Taylor;60;83 kg;Bench Press;270
Daniel Lee;50;120 kg;Bench Press;219
Jane Smith;52;Open;Bench Press;100
Sarah Thomas;60;120 kg;Bench Press;251
Laura Taylor;64;Open;Bench Press;278
Daniel Lee;33;83 kg;Bench Press;394
Daniel Lee;63;83 kg;Bench Press;362
John Doe;61;66 kg;Bench Press;240
Chris Brown;40;93 kg;Bench Press;170
Chris Brown;31;52 kg;Bench Press;140
Chris Brown;25;59 kg;Bench Press;196
Chris Brown;37;66 kg;Bench Press;349
John Doe;47;Open;Bench Press;116
Chris Brown;26;Open;Bench Press;385
Sarah Thomas;59;105 kg;Bench Press;248
Emily Davis;52;105 kg;Bench Press;355
Michael Johnson;29;74 kg;Bench Press;343
Jane Smith;26;83 kg;Bench Press;271
Jane Smith;22;52 kg;Bench Press;257
Chris Brown;39;105 kg;Bench Press;198
Jane Smith;40;105 kg;Bench Press;303
Matthew Anderson;24;59 kg;Bench Press;300
Emily Davis;55;120 kg;Bench Press;158
Michael Johnson;29;59 kg;Bench Press;230
Sarah Thomas;61;59 kg;Bench Press;254
Matthew Anderson;21;52 kg;Bench Press;378
Jessica Wilson;19;93 kg;Bench Press;119
Laura Taylor;61;105 kg;Bench Press;213
Laura Taylor;48;93 kg;Bench Press;194
Jessica Wilson;33;52 kg;Bench Press;277
Daniel Lee;58;59 kg;Bench Press;385
Jessica Wilson;34;93 kg;Bench Press;328
Sarah Thomas;39;93 kg;Bench Press;274
Laura Taylor;38;59 kg;Bench Press;244
Emily Davis;33;66 kg;Bench Press;208
Sarah Thomas;42;105 kg;Bench Press;214
John Doe;30;59 kg;Bench Press;110
Chris Brown;41;52 kg;Bench Press;327
Sarah Thomas;31;105 kg;Bench Press;313
Chris Brown;25;Open;Bench Press;255
Sarah Thomas;59;83 kg;Bench Press;324
Laura Taylor;64;74 kg;Bench Press;193
Chris Brown;34;83 kg;Bench Press;273
Sarah Thomas;57;Open;Bench Press;215
Jane Smith;60;52 kg;Bench Press;315
Laura Taylor;35;59 kg;Bench Press;233
Emily Davis;19;Open;Bench Press;118
Daniel Lee;21;52 kg;Bench Press;271
Emily Davis;61;93 kg;Bench Press;343
Daniel Lee;43;93 kg;Bench Press;135
Matthew Anderson;52;74 kg;Bench Press;130
John Doe;57;93 kg;Bench Press;327
Daniel Lee;36;52 kg;Bench Press;211
Michael Johnson;59;93 kg;Bench Press;153
Jane Smith;30;59 kg;Bench Press;216
Michael Johnson;46;83 kg;Bench Press;248
Jane Smith;26;74 kg;Bench Press;236
Michael Johnson;63;93 kg;Bench Press;146
Emily Davis;40;66 kg;Bench Press;150
John Doe;32;120 kg;Bench Press;265
Matthew Anderson;18;66 kg;Bench Press;291
Jane Smith;27;66 kg;Bench Press;314
Jessica Wilson;58;83 kg;Bench Press;255
